year,month,day,hour,min,sec,BX,BY,BZ
1969,11,19,14,40,30,-21.19,25.72,-35.83
1969,11,19,14,41,30,-21.42,25.61,-35.94
1969,11,19,14,42,30,-21.63,25.99,-36.52
1969,11,19,14,43,30,-21.47,25.63,-36.96
1969,11,19,14,44,30,-21.04,25.24,-38.48
1969,11,19,14,45,30,-20.01,25.45,-36.99
1969,11,19,14,46,30,-18.79,24.44,-38.58
1969,11,19,14,47,30,-18.57,27.55,-39.57
1969,11,19,14,48,30,-18.07,26.64,-39.37
1969,11,19,14,49,30,-18.09,26.17,-37.91
1969,11,19,14,50,30,-17.84,26.09,-37.14
1969,11,19,14,51,30,-17.92,25.36,-37.3
1969,11,19,14,52,30,-18.21,25.21,-36.6
1969,11,19,14,53,30,-17.97,26.38,-37.38
1969,11,19,14,54,30,-18.33,26.12,-38.5
1969,11,19,14,55,30,-18.79,25.7,-38.54
1969,11,19,14,56,30,-18.97,25.11,-36.8
1969,11,19,14,57,30,-18.91,25.89,-38.03
1969,11,19,14,58,30,-19.59,24.92,-35.67
1969,11,19,14,59,30,-19.47,25.73,-36.9
1969,11,19,15,0,30,-19.04,25.16,-34.89
1969,11,19,15,2,30,-18.86,25.91,-37.04
1969,11,19,15,3,30,-19.14,25.04,-37.69
1969,11,19,15,4,30,-19.03,25.7,-36.06
1969,11,19,15,5,30,-18.9,25.41,-36.32
1969,11,19,15,6,30,-18.66,25.2,-35.66
1969,11,19,15,7,30,-18.88,25.49,-35.87
1969,11,19,15,8,30,-18.83,25.5,-35.86
1969,11,19,15,9,30,-18.53,25.09,-37.19
1969,11,19,15,10,30,-18.58,24.42,-35.51
1969,11,19,15,11,30,-19.13,24.08,-36.88
1969,11,19,15,12,30,-19.25,23.58,-34.19
1969,11,19,15,13,30,-19.45,23.85,-33.7
1969,11,19,15,14,30,-20.19,25.58,-32.46
1969,11,19,15,15,30,-19.99,25.99,-32.71
1969,11,19,15,16,30,-19.06,25.87,-34.53
1969,11,19,15,17,30,-19.26,25.66,-36.11
1969,11,19,15,18,30,-19.48,26.15,-37.54
1969,11,19,15,19,30,-19.83,26.42,-38.68
1969,11,19,15,21,30,-20.36,22.77,-31.53
1969,11,19,15,22,30,-19.38,24.35,-35.34
1969,11,19,15,23,30,-19.35,26.94,-37.67
1969,11,19,15,24,30,-17.04,25.51,-33.87
1969,11,19,15,25,30,-16.49,24.77,-32.29
1969,11,19,15,26,30,-15.78,25.06,-33.19
1969,11,19,15,27,30,-16.61,22.2,-30.6
1969,11,19,15,28,30,-16.34,27.1,-38.37
