year,month,day,hour,min,sec,BX,BY,BZ
1972,5,27,20,22,34.194,-193.34,-53.35,132.09
1972,5,27,20,22,34.49587,-193.34,-53.35,132.09
1972,5,27,20,22,34.79774,-193.34,-53.35,132.09
1972,5,27,20,22,35.09961,-193.34,-53.35,132.09
1972,5,27,20,22,35.40149,-193.55,-53.2,131.79
1972,5,27,20,22,35.70336,-193.55,-53.2,131.79
1972,5,27,20,22,36.00523,-194.01,-53.2,131.11
1972,5,27,20,22,36.3071,-194.01,-53.2,131.11
1972,5,27,20,22,36.60897,-194.01,-53.2,131.11
1972,5,27,20,22,36.91084,-194.01,-53.2,131.11
1972,5,27,20,22,37.21271,-194.01,-53.2,131.11
1972,5,27,20,22,37.51459,-194.01,-53.2,131.11
1972,5,27,20,22,37.81646,-194.01,-53.2,131.11
1972,5,27,20,22,38.11833,-194.01,-53.2,131.11
1972,5,27,20,22,38.4202,-194.22,-53.53,131.11
1972,5,27,20,22,38.72207,-194.22,-53.53,131.11
1972,5,27,20,22,39.02394,-194.22,-53.53,131.11
1972,5,27,20,22,39.32581,-194.22,-53.53,131.11
1972,5,27,20,22,39.62769,-194.01,-53.2,131.11
1972,5,27,20,22,39.92956,-194.01,-53.2,131.11
1972,5,27,20,22,40.23143,-194.01,-53.2,131.11
1972,5,27,20,22,40.5333,-194.01,-53.2,131.11
1972,5,27,20,22,40.83517,-193.55,-53.2,131.79
1972,5,27,20,22,41.13704,-193.55,-53.2,131.79
1972,5,27,20,22,41.43891,-193.55,-53.2,131.79
1972,5,27,20,22,41.74079,-193.55,-53.2,131.79
1972,5,27,20,22,42.04266,-193.55,-53.2,131.79
1972,5,27,20,22,42.34453,-193.55,-53.2,131.79
1972,5,27,20,22,42.6464,-193.55,-53.2,131.79
1972,5,27,20,22,42.94827,-193.55,-53.2,131.79
1972,5,27,20,22,43.25014,-193.55,-53.2,131.79
1972,5,27,20,22,43.55201,-193.34,-53.35,132.09
1972,5,27,20,22,43.85388,-193.34,-53.35,132.09
1972,5,27,20,22,44.15576,-193.34,-53.35,132.09
1972,5,27,20,22,44.45763,-193.34,-53.35,132.09
1972,5,27,20,22,44.7595,-193.34,-53.35,132.09
1972,5,27,20,22,45.06137,-193.34,-53.35,132.09
1972,5,27,20,22,45.36324,-193.34,-53.35,132.09
1972,5,27,20,22,45.66511,-193.34,-53.35,132.09
1972,5,27,20,22,45.96698,-193.55,-53.2,131.79
1972,5,27,20,22,46.26886,-193.55,-53.2,131.79
1972,5,27,20,22,46.57073,-193.55,-53.2,131.79
1972,5,27,20,22,46.8726,-193.55,-53.2,131.79
1972,5,27,20,22,47.17447,-193.55,-53.2,131.79
1972,5,27,20,22,47.47634,-193.55,-53.2,131.79
1972,5,27,20,22,47.77821,-193.55,-53.2,131.79
1972,5,27,20,22,48.08008,-193.55,-53.2,131.79
1972,5,27,20,22,48.38196,-193.55,-53.2,131.79
1972,5,27,20,22,48.68383,-193.55,-53.2,131.79
1972,5,27,20,22,48.9857,-193.55,-53.2,131.79
1972,5,27,20,22,49.28757,-193.55,-53.2,131.79
1972,5,27,20,22,49.58944,-193.34,-53.35,132.09
1972,5,27,20,22,49.89131,-193.34,-53.35,132.09
1972,5,27,20,22,50.19318,-193.34,-53.35,132.09
1972,5,27,20,22,50.49506,-193.8,-53.35,131.41
1972,5,27,20,22,50.79693,-193.8,-53.35,131.41
1972,5,27,20,22,51.0988,-193.8,-53.35,131.41
1972,5,27,20,22,51.40067,-193.8,-53.35,131.41
1972,5,27,20,22,51.70254,-193.8,-53.35,131.41
1972,5,27,20,22,52.00441,-193.8,-53.35,131.41
1972,5,27,20,22,52.30628,-193.8,-53.35,131.41
1972,5,27,20,22,52.60816,-193.8,-53.35,131.41
1972,5,27,20,22,52.91003,-193.8,-53.35,131.41
1972,5,27,20,22,53.2119,-193.8,-53.35,131.41
1972,5,27,20,22,53.51377,-193.8,-53.35,131.41
1972,5,27,20,22,53.81564,-193.8,-53.35,131.41
1972,5,27,20,22,54.11751,-193.8,-53.35,131.41
1972,5,27,20,22,54.41938,-193.8,-53.35,131.41
