Period_hr,Freq_Hz,C_real_km,C_real_err_km,C_imag_km,C_imag_err_km,Coherence,AppRes_ohm_m,AppRes_err_ohm_m,Phase_deg,Phase_err_deg
3.133333333,8.87E-05,1065.512755,75.34429634,-551.4800527,0,0.953927844,1007.572989,126.5490681,-27.36483919,-1.718483393
2,0.000138889,1068.94416,44.93499545,18.53798004,0,0.815654585,1253.423609,105.3640003,0.993542595,0.041759076
1.566666667,0.000177305,1353.509239,66.81378407,151.9196932,0,0.834861897,2596.989502,254.7924038,6.404151512,0.314157827
1.216666667,0.000228311,1177.384262,46.73832807,262.1685486,0,0.603672798,2622.819967,203.2568636,12.55327215,0.486411335
1,0.000277778,1109.642434,47.29859757,76.76431983,0,0.741799671,2713.481246,230.773155,3.957378612,0.168281382
0.825,0.0003367,829.0707476,37.56134138,325.0073983,0,0.610188341,2108.142485,177.8433829,21.40587821,0.902902394
0.626666667,0.000443262,742.684812,59.90169547,397.0271301,0,0.632373701,2482.139962,353.1080044,28.12822975,2.000754033
0.5,0.000555556,641.5232017,54.92948127,340.0198882,0,0.608460246,2312.406826,349.8857285,27.92446765,2.112598137
0.4,0.000694444,598.4792542,42.75031593,-55.98565417,0,0.671808717,1981.11369,281.7978296,-5.344268106,-0.380090037
0.391666667,0.00070922,590.142733,24.46417599,117.5195128,0,0.611410985,2027.562705,164.8667379,11.26240434,0.457888641
0.333333333,0.000833333,500.1442759,8.057292209,-37.23754021,0,0.688082964,1655.00719,53.1769342,-4.258020575,-0.068407099
0.313333333,0.000886525,477.8022406,14.49491499,-53.96570542,0,0.66575847,1618.38608,97.57241449,-6.444002681,-0.194254297
0.304166667,0.000913242,440.1659599,18.86957537,-5.851267481,0,0.721858222,1397.285842,119.79055,-0.76160634,-0.032646592
0.243333333,0.001141553,355.8374541,10.79374135,-55.66305646,0,0.830877782,1169.19813,70.0791574,-8.890632578,-0.266442455
0.222222222,0.00125,335.1408785,17.71874493,74.21330014,0,0.615778897,1162.906099,120.0563536,12.48604346,0.64451844
0.20625,0.001346801,313.7419755,9.604318423,-2.635799363,0,0.738999021,1046.813173,64.08815555,-0.481340203,-0.014734342
