Period_hr,Freq_Hz,C_real_km,C_real_err_km,C_imag_km,C_imag_err_km,Coherence,AppRes_ohm_m,AppRes_err_ohm_m,Phase_deg,Phase_err_deg
0.516666667,0.000537634,179.3881319,177.818179,-72.13552779,0,0.740571708,158.6932047,291.8930224,-21.9060382,-20.14648237
0.45,0.000617284,87.07728354,208.287505,-114.7505022,0,0.619533808,101.1336221,292.4679987,-52.80731486,-76.35665257
0.35,0.000793651,24.46610607,46.74675802,-176.6346057,0,0.780290189,199.2618252,104.4727769,-82.11399408,-21.52614274
0.258333333,0.001075269,74.1355754,72.44316391,-267.541487,0,0.83020388,654.3614007,341.4991554,-74.51198125,-19.44321489
0.225,0.001234568,161.2601571,49.22545146,-258.7272387,0,0.994449756,906.0016332,292.5745533,-58.06543541,-9.375517772
0.175,0.001587302,164.4396156,15.50692601,-306.3126868,0,0.44611643,1514.816326,135.132649,-61.77150436,-2.755234042
0.172222222,0.001612903,164.3524328,18.76279644,-325.7464229,0,0.627374667,1695.310916,174.3617677,-63.22718206,-3.251439935
0.15,0.001851852,192.0631279,7.74006207,-280.8270105,0,0.582833397,1692.484431,77.00780889,-55.63100616,-1.265601565
0.129166667,0.002150538,227.2774615,6.300254183,-302.5935097,0,0.731101137,2431.834469,80.96987367,-53.08985081,-0.883834522
0.1125,0.002469136,243.9266954,7.282224127,-268.2852787,0,0.710225371,2563.216166,102.9565564,-47.7226879,-0.958437231
0.103333333,0.002688172,259.8384203,10.84537072,-295.182071,0,0.75480825,3282.406706,181.0481074,-48.64366977,-1.341522416
0.09,0.00308642,376.7556197,24.71972568,-304.4490185,0,0.583846878,5717.888338,583.598059,-38.94101531,-1.987263444
0.064583333,0.004301075,462.7832796,16.48561587,-448.166266,0,0.888567795,14094.09617,721.3352814,-44.08071602,-1.128024646
0.051666667,0.005376344,593.3470263,38.80087182,-529.9348728,0,0.457173531,26866.19502,2620.673729,-41.76893526,-2.03718374

