Period_hr,Freq_Hz,C_real_km,C_real_err_km,C_imag_km,C_imag_err_km,Coherence,AppRes_ohm_m,AppRes_err_ohm_m,Phase_deg(C_response),Phase_deg(Z_impedance),Phase_err_deg
0.466666667,0.000595238,523.8513218,733.9227525,-312.0664104,0,0.535603937,1747.416523,4206.479643,-30.78291723,59.21708277,-37.05118756
0.333333333,0.000833333,236.2898914,207.391441,38.53407266,0,0.611201391,377.1359254,653.3923124,9.26224031,99.26224031,8.023468736
0.233333333,0.001190476,426.6823494,48.00391648,133.0125332,0,0.627758778,1877.576258,403.3301453,17.31417127,107.3141713,1.859665402
0.2,0.001388889,420.9847312,21.87922831,91.2598869,0,0.562468421,2034.85484,206.7080217,12.23117109,102.2311711,0.621243621
0.166666667,0.001666667,403.1494568,40.66528777,70.53081843,0,0.591361842,2204.265352,438.0311781,9.923441132,99.92344113,0.985992137
0.155555556,0.001785714,392.7300952,41.92248226,72.95394882,0,0.648980131,2249.694636,472.2148325,10.52337351,100.5233735,1.104437237
0.133333333,0.002083333,420.4864431,42.15632289,122.6953301,0,0.708965924,3156.019731,607.4867645,16.26691672,106.2669167,1.565569522
0.088888889,0.003125,405.0606854,18.7608324,66.85871152,0,0.410354168,4158.662585,380.0833269,9.372648362,99.37264836,0.428309258
0.066666667,0.004166667,512.3378083,20.74254462,-102.7834138,0,0.529972171,8983.131666,713.1734329,-11.34389227,78.65610773,-0.450297452
0.058333333,0.004761905,487.9288765,42.45722164,-142.3139843,0,0.697982843,9712.738174,1622.697721,-16.26035571,73.73964429,-1.358300908
0.042424242,0.006547619,471.1519792,63.15966695,-77.38612224,0,0.611520015,11785.72133,3118.060079,-9.327477225,80.67252278,-1.233850418
0.033333333,0.008333333,510.3814856,137.636595,0,0,0.687885391,17139.50637,9244.157019,0,90,0
